Step,Energy 1,Energy 2,Energy 3,Energy 5,Energy 10
-1,8916.544922,8916.544922,8916.544922,8916.544922,8916.544922
0,8916.544922,8916.544922,8916.338867,8916.389648,8913.139648
1,8916.544922,8913.882813,8916.338867,8913.540039,8911.643555
2,8913.865234,8913.882813,8913.185547,8913.540039,8911.643555
3,8913.865234,8913.148438,8913.185547,8911.375,8911.643555
4,8913.865234,8913.148438,8913.185547,8911.375,8911.643555
5,8913.865234,8913.148438,8911.339844,8911.375,8911.643555
6,8913.865234,8913.148438,8911.339844,8911.375,8910.951172
7,8913.435547,8912.165039,8911.339844,8911.375,8910.951172
8,8913.435547,8910.225586,8911.339844,8910.541016,8910.951172
9,8913.435547,8910.225586,8911.339844,8910.541016,8910.429688
10,8913.257813,8909.696289,8911.339844,8910.541016,8908.228516
11,8913.257813,8909.696289,8911.339844,8910.541016,8908.228516
12,8913.257813,8909.696289,8911.339844,8910.541016,8908.228516
13,8913.257813,8909.696289,8911.339844,8910.541016,8908.228516
14,8913.257813,8909.617188,8911.199219,8910.541016,8908.209961
15,8911.227539,8909.504883,8911.199219,8910.541016,8906.53125
16,8911.227539,8908.716797,8911.199219,8910.541016,8906.53125
17,8911.227539,8908.716797,8911.199219,8910.541016,8906.53125
18,8911.227539,8908.716797,8911.199219,8908.229492,8906.53125
19,8911.227539,8908.716797,8911.199219,8908.229492,8906.53125
20,8911.143555,8908.638672,8911.199219,8908.229492,8906.53125
21,8910.880859,8906.264648,8910.322266,8906.910156,8906.53125
22,8910.880859,8906.264648,8910.322266,8906.647461,8899.705078
23,8910.880859,8906.264648,8909.353516,8906.647461,8899.705078
24,8910.880859,8906.264648,8909.353516,8904.526367,8899.705078
25,8910.880859,8906.264648,8909.353516,8904.526367,8899.705078
26,8910.880859,8906.264648,8908.019531,8904.526367,8899.705078
27,8910.880859,8906.264648,8908.019531,8904.526367,8899.705078
28,8910.880859,8906.264648,8907.87793,8904.526367,8899.705078
29,8910.474609,8906.264648,8907.87793,8904.526367,8899.705078
30,8910.474609,8906.264648,8906.427734,8904.526367,8899.705078
31,8910.474609,8906.264648,8906.427734,8901.975586,8899.705078
32,8910.474609,8906.264648,8906.427734,8901.975586,8899.705078
33,8908.669922,8906.264648,8906.427734,8901.975586,8899.705078
34,8908.669922,8906.264648,8906.427734,8901.975586,8899.705078
35,8908.669922,8906.264648,8905.03125,8901.975586,8899.705078
36,8908.669922,8906.264648,8904.894531,8901.975586,8899.705078
37,8908.669922,8906.264648,8904.894531,8901.975586,8899.705078
38,8908.669922,8906.264648,8904.894531,8901.975586,8899.705078
39,8908.669922,8906.264648,8904.894531,8901.975586,8899.705078
40,8908.669922,8906.264648,8904.168945,8901.975586,8899.705078
41,8908.669922,8906.264648,8904.168945,8901.975586,8899.705078
42,8907.759766,8906.264648,8904.168945,8900.717773,8899.705078
43,8907.759766,8906.264648,8904.168945,8900.717773,8899.705078
44,8907.759766,8906.264648,8904.168945,8898.447266,8899.705078
45,8907.759766,8906.264648,8901.900391,8898.447266,8899.705078
46,8907.759766,8906.264648,8901.900391,8898.447266,8899.705078
47,8907.759766,8906.264648,8901.900391,8898.447266,8899.705078
48,8907.759766,8906.264648,8901.800781,8898.447266,8899.705078
49,8906.669922,8906.264648,8901.800781,8897.513672,8899.705078
50,8906.669922,8906.264648,8901.800781,8897.168945,8899.705078
51,8906.669922,8906.264648,8899.598633,8897.168945,8899.705078
52,8906.669922,8906.264648,8899.598633,8897.168945,8899.705078
53,8906.669922,8905.335938,8899.598633,8897.168945,8899.705078
54,8906.669922,8905.335938,8899.598633,8897.168945,8899.705078
55,8906.669922,8905.335938,8899.598633,8896.597656,8899.705078
56,8906.669922,8905.335938,8899.598633,8896.597656,8899.705078
57,8906.669922,8905.335938,8899.598633,8896.597656,8899.705078
58,8906.669922,8905.335938,8899.598633,8896.137695,8899.705078
59,8906.669922,8905.335938,8899.598633,8895.145508,8899.705078
60,8906.669922,8905.335938,8899.598633,8895.145508,8899.705078
61,8906.669922,8904.802734,8899.598633,8894.479492,8899.705078
62,8906.669922,8904.802734,8899.598633,8894.479492,8899.705078
63,8906.669922,8904.802734,8899.598633,8894.259766,8899.705078
64,8906.669922,8904.802734,8899.598633,8892.841797,8899.705078
65,8906.669922,8904.802734,8899.598633,8892.841797,8899.705078
66,8906.669922,8903.109375,8899.598633,8892.282227,8899.705078
67,8906.669922,8902.794922,8899.598633,8889.818359,8899.705078
68,8906.669922,8902.794922,8899.598633,8889.818359,8899.705078
69,8906.669922,8902.794922,8899.598633,8889.818359,8899.705078
70,8906.453125,8902.794922,8899.598633,8889.818359,8899.705078
71,8905.932617,8902.794922,8899.598633,8889.818359,8899.705078
72,8905.932617,8900.166992,8899.598633,8889.818359,8899.705078
73,8905.932617,8900.166992,8897.735352,8889.818359,8899.705078
74,8905.932617,8900.166992,8897.735352,8889.818359,8899.705078
75,8905.932617,8900.166992,8895.320313,8889.229492,8899.705078
76,8905.932617,8900.166992,8895.320313,8889.229492,8899.705078
77,8905.084961,8900.166992,8895.320313,8889.229492,8899.705078
78,8904.658203,8900.166992,8895.320313,8887.482422,8899.705078
79,8904.658203,8900.166992,8895.320313,8887.482422,8899.705078
80,8904.217773,8900.166992,8895.320313,8887.482422,8899.705078
81,8903.884766,8900.166992,8895.320313,8887.482422,8899.705078
82,8903.884766,8900.166992,8895.320313,8883.8125,8899.705078
83,8903.884766,8900.166992,8895.320313,8883.8125,8899.705078
84,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
85,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
86,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
87,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
88,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
89,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
90,8903.061523,8900.166992,8895.320313,8883.8125,8899.705078
91,8902.757813,8900.166992,8895.320313,8883.8125,8899.705078
92,8902.757813,8900.166992,8895.085938,8883.8125,8899.705078
93,8902.757813,8900.166992,8895.085938,8883.8125,8899.705078
94,8901.867188,8900.166992,8895.085938,8883.793945,8899.705078
95,8901.867188,8900.166992,8895.085938,8882.947266,8899.705078
96,8901.867188,8900.166992,8891.386719,8882.947266,8899.705078
97,8901.867188,8900.166992,8891.386719,8882.947266,8899.705078
98,8901.867188,8900.166992,8891.386719,8879.772461,8899.705078
99,8901.867188,8900.166992,8891.386719,8879.772461,8899.705078
100,8901.867188,8900.166992,8891.386719,8879.772461,8899.705078
101,8901.833984,8900.166992,8891.386719,8879.772461,8899.705078
102,8901.833984,8900.166992,8891.386719,8879.772461,8899.705078
103,8901.067383,8900.166992,8891.386719,8879.772461,8899.705078
104,8901.067383,8900.166992,8891.386719,8879.772461,8899.705078
105,8901.067383,8900.166992,8891.386719,8879.772461,8899.705078
106,8901.067383,8900.166992,8890.942383,8879.772461,8899.705078
107,8899.900391,8900.166992,8890.942383,8879.772461,8899.705078
108,8899.900391,8900.166992,8890.942383,8879.772461,8899.705078
109,8899.900391,8900.166992,8890.942383,8879.772461,8899.705078
110,8899.900391,8899.466797,8890.942383,8879.772461,8899.705078
111,8899.900391,8899.466797,8890.911133,8879.772461,8899.705078
112,8899.900391,8897.27832,8887.658203,8879.772461,8899.705078
113,8899.900391,8896.6875,8887.658203,8879.772461,8899.705078
114,8899.900391,8896.6875,8887.658203,8879.772461,8899.705078
115,8899.900391,8896.6875,8887.658203,8879.480469,8899.705078
116,8899.900391,8896.6875,8887.658203,8878.851563,8899.705078
117,8899.900391,8896.6875,8887.658203,8878.851563,8899.705078
118,8898.794922,8896.419922,8887.658203,8878.851563,8899.705078
119,8898.794922,8896.419922,8887.658203,8878.851563,8899.705078
120,8898.794922,8896.419922,8887.658203,8875.706055,8899.705078
121,8898.794922,8896.419922,8887.658203,8875.706055,8899.705078
122,8898.794922,8895.359375,8887.658203,8875.706055,8899.705078
123,8898.209961,8895.359375,8887.658203,8875.706055,8899.705078
124,8898.209961,8895.359375,8887.658203,8875.706055,8899.705078
125,8898.209961,8895.18457,8887.658203,8875.706055,8899.705078
126,8896.969727,8893.922852,8887.658203,8875.706055,8899.705078
127,8896.969727,8893.922852,8887.658203,8875.706055,8899.705078
128,8896.969727,8893.922852,8887.658203,8875.706055,8899.705078
129,8896.969727,8893.922852,8887.658203,8875.706055,8899.705078
130,8896.969727,8893.922852,8887.658203,8875.706055,8899.705078
131,8896.969727,8893.922852,8887.658203,8875.706055,8899.705078
132,8896.463867,8893.922852,8887.658203,8875.706055,8899.705078
133,8896.463867,8893.662109,8887.658203,8875.706055,8899.705078
134,8896.463867,8893.662109,8887.658203,8875.706055,8899.705078
135,8894.583984,8893.662109,8887.658203,8875.282227,8899.705078
136,8894.583984,8893.662109,8887.658203,8875.282227,8899.705078
137,8894.583984,8893.662109,8887.658203,8875.282227,8899.705078
138,8894.583984,8892.081055,8887.658203,8875.282227,8899.705078
139,8894.583984,8892.081055,8887.658203,8875.282227,8899.705078
140,8894.583984,8892.081055,8887.658203,8875.282227,8899.705078
141,8894.583984,8892.081055,8887.658203,8875.282227,8899.705078
142,8894.583984,8892.081055,8887.658203,8875.282227,8899.705078
143,8894.583984,8892.081055,8887.658203,8875.100586,8899.705078
144,8894.583984,8892.053711,8887.658203,8875.100586,8899.705078
145,8894.529297,8889.554688,8887.658203,8875.100586,8899.705078
146,8894.290039,8889.554688,8887.658203,8875.100586,8899.705078
147,8894.290039,8889.554688,8887.301758,8870.987305,8899.705078
148,8894.290039,8889.554688,8887.301758,8870.987305,8899.705078
149,8894.290039,8889.554688,8887.301758,8870.987305,8899.705078
150,8893.811523,8889.554688,8887.301758,8870.987305,8899.705078
151,8893.496094,8889.554688,8886.291016,8870.987305,8899.705078
152,8893.496094,8889.554688,8886.291016,8870.987305,8899.705078
153,8893.121094,8889.554688,8886.291016,8870.987305,8899.705078
154,8893.121094,8889.554688,8886.291016,8870.987305,8899.705078
155,8889.746094,8889.554688,8886.291016,8870.987305,8899.705078
156,8889.746094,8889.554688,8886.291016,8870.987305,8899.133789
157,8889.746094,8889.554688,8886.291016,8870.987305,8899.133789
158,8889.746094,8889.554688,8886.291016,8870.987305,8896.992188
