"Value","Count"
"0","254"
"1","257"
"2","256"
"3","255"
"4","255"
"5","257"
"6","256"
"7","255"
"8","257"
"9","257"
"10","257"
"11","255"
"12","256"
"13","256"
"14","254"
"15","258"
"16","253"
"17","259"
"18","255"
"19","256"
"20","257"
"21","255"
"22","257"
"23","254"
"24","258"
"25","255"
"26","255"
"27","257"
"28","254"
"29","258"
"30","258"
"31","256"
"32","256"
"33","256"
"34","255"
"35","254"
"36","257"
"37","255"
"38","259"
"39","254"
"40","256"
"41","257"
"42","256"
"43","258"
"44","253"
"45","257"
"46","256"
"47","255"
"48","258"
"49","253"
"50","257"
"51","258"
"52","254"
"53","259"
"54","254"
"55","256"
"56","255"
"57","256"
"58","254"
"59","258"
"60","256"
"61","255"
"62","259"
"63","254"
"64","258"
"65","255"
"66","256"
"67","256"
"68","254"
"69","258"
"70","254"
"71","257"
"72","258"
"73","254"
"74","258"
"75","254"
"76","257"
"77","255"
"78","256"
"79","255"
"80","256"
"81","257"
"82","254"
"83","259"
"84","255"
"85","258"
"86","255"
"87","255"
"88","258"
"89","252"
"90","260"
"91","253"
"92","258"
"93","256"
"94","256"
"95","257"
"96","254"
"97","258"
"98","255"
"99","256"
"100","256"
"101","254"
"102","259"
"103","254"
"104","257"
"105","255"
"106","258"
"107","256"
"108","256"
"109","255"
"110","254"
"111","259"
"112","252"
"113","258"
"114","257"
"115","255"
"116","258"
"117","255"
"118","257"
"119","255"
"120","255"
"121","257"
"122","255"
"123","259"
"124","252"
"125","259"
"126","255"
"127","257"
"128","256"
"129","256"
"130","255"
"131","255"
"132","259"
"133","252"
"134","257"
"135","257"
"136","256"
"137","259"
"138","254"
"139","255"
"140","258"
"141","253"
"142","258"
"143","255"
"144","257"
"145","255"
"146","257"
"147","255"
"148","256"
"149","257"
"150","255"
"151","257"
"152","254"
"153","258"
"154","254"
"155","255"
"156","258"
"157","256"
"158","257"
"159","256"
"160","256"
"161","257"
"162","253"
"163","258"
"164","253"
"165","258"
"166","255"
"167","256"
"168","256"
"169","257"
"170","257"
"171","255"
"172","257"
"173","254"
"174","257"
"175","255"
"176","255"
"177","259"
"178","254"
"179","257"
"180","256"
"181","256"
"182","258"
"183","253"
"184","257"
"185","253"
"186","259"
"187","255"
"188","256"
"189","257"
"190","255"
"191","260"
"192","255"
"193","255"
"194","255"
"195","257"
"196","255"
"197","256"
"198","257"
"199","254"
"200","258"
"201","255"
"202","256"
"203","257"
"204","255"
"205","257"
"206","254"
"207","257"
"208","256"
"209","253"
"210","260"
"211","255"
"212","259"
"213","255"
"214","255"
"215","256"
"216","255"
"217","255"
"218","256"
"219","257"
"220","255"
"221","257"
"222","254"
"223","259"
"224","256"
"225","254"
"226","258"
"227","254"
"228","256"
"229","257"
"230","253"
"231","260"
"232","255"
"233","256"
"234","258"
"235","255"
"236","255"
"237","256"
"238","255"
"239","256"
"240","256"
"241","256"
"242","256"
"243","256"
"244","257"
"245","257"
"246","255"
"247","257"
"248","255"
"249","255"
"250","257"
"251","253"
"252","260"
"253","254"
"254","256"
"255","258"
