"Step","Energy","Temperature"
"-1","8916.544922","1.000000"
"0","8913.933594","1.000000"
"1","8914.567383","1.000000"
"2","8917.125000","1.000000"
"3","8912.901367","1.000000"
"4","8921.000000","1.000000"
"5","8911.740234","1.000000"
"6","8926.443359","1.000000"
"7","8912.210938","1.000000"
"8","8928.619141","1.000000"
"9","8913.218750","1.000000"
"10","8930.756836","1.000000"
"11","8912.098633","1.000000"
"12","8932.536133","1.000000"
"13","8912.339844","1.000000"
"14","8934.431641","1.000000"
"15","8912.168945","1.000000"
"16","8931.774414","1.000000"
"17","8909.582031","1.000000"
"18","8929.199219","1.000000"
"19","8906.300781","1.000000"
"20","8931.144531","1.000000"
"21","8908.364258","1.000000"
"22","8928.672852","1.000000"
"23","8906.569336","1.000000"
"24","8929.355469","1.000000"
"25","8901.033203","1.000000"
"26","8924.799805","1.000000"
"27","8901.437500","1.000000"
"28","8918.291992","1.000000"
"29","8900.550781","1.000000"
"30","8922.557617","1.000000"
"31","8905.231445","1.000000"
"32","8919.844727","1.000000"
"33","8907.213867","1.000000"
"34","8921.557617","1.000000"
"35","8905.804688","1.000000"
"36","8919.722656","1.000000"
"37","8900.109375","1.000000"
"38","8918.474609","1.000000"
"39","8905.763672","1.000000"
"40","8925.225586","1.000000"
"41","8908.825195","1.000000"
"42","8925.162109","1.000000"
"43","8907.208008","1.000000"
"44","8926.002930","1.000000"
"45","8906.528320","1.000000"
"46","8926.631836","1.000000"
"47","8901.946289","1.000000"
"48","8931.440430","1.000000"
"49","8902.119141","1.000000"
"50","8932.069336","1.000000"
"51","8906.203125","1.000000"
"52","8933.602539","1.000000"
"53","8906.398438","1.000000"
"54","8932.857422","1.000000"
"55","8905.738281","1.000000"
"56","8934.311523","1.000000"
"57","8908.257813","1.000000"
"58","8935.706055","1.000000"
"59","8908.785156","1.000000"
"60","8934.900391","1.000000"
"61","8908.804688","1.000000"
"62","8935.320313","1.000000"
"63","8908.949219","1.000000"
"64","8937.918945","1.000000"
"65","8905.500977","1.000000"
"66","8947.502930","1.000000"
"67","8903.990234","1.000000"
"68","8945.595703","1.000000"
"69","8905.168945","1.000000"
"70","8945.995117","1.000000"
"71","8905.834961","1.000000"
"72","8945.458984","1.000000"
"73","8909.098633","1.000000"
"74","8947.140625","1.000000"
"75","8908.265625","1.000000"
"76","8950.546875","1.000000"
"77","8907.393555","1.000000"
"78","8949.729492","1.000000"
"79","8900.289063","1.000000"
"80","8946.609375","1.000000"
"81","8900.197266","1.000000"
"82","8945.369141","1.000000"
"83","8900.208984","1.000000"
"84","8940.082031","1.000000"
"85","8903.359375","1.000000"
"86","8938.781250","1.000000"
"87","8903.759766","1.000000"
"88","8940.360352","1.000000"
"89","8900.994141","1.000000"
"90","8935.787109","1.000000"
"91","8907.451172","1.000000"
"92","8936.252930","1.000000"
"93","8910.373047","1.000000"
"94","8938.348633","1.000000"
"95","8909.456055","1.000000"
"96","8938.414063","1.000000"
"97","8907.629883","1.000000"
"98","8939.040039","1.000000"
"99","8908.082031","1.000000"
"100","8939.583984","1.000000"
"101","8910.623047","1.000000"
"102","8946.582031","1.000000"
"103","8911.107422","1.000000"
"104","8945.295898","1.000000"
"105","8912.497070","1.000000"
"106","8942.362305","1.000000"
"107","8915.362305","1.000000"
"108","8943.789063","1.000000"
"109","8911.596680","1.000000"
"110","8951.702148","1.000000"
"111","8914.889648","1.000000"
"112","8952.358398","1.000000"
"113","8907.330078","1.000000"
"114","8950.799805","1.000000"
"115","8912.594727","1.000000"
"116","8948.142578","1.000000"
"117","8907.372070","1.000000"
"118","8944.864258","1.000000"
"119","8908.171875","1.000000"
"120","8944.681641","1.000000"
"121","8908.878906","1.000000"
"122","8945.124023","1.000000"
"123","8911.864258","1.000000"
"124","8942.577148","1.000000"
"125","8911.793945","1.000000"
"126","8942.248047","1.000000"
"127","8913.918945","1.000000"
"128","8941.746094","1.000000"
"129","8910.602539","1.000000"
"130","8940.560547","1.000000"
"131","8911.463867","1.000000"
"132","8943.740234","1.000000"
"133","8916.208008","1.000000"
"134","8943.751953","1.000000"
"135","8918.640625","1.000000"
"136","8943.282227","1.000000"
"137","8917.402344","1.000000"
"138","8947.863281","1.000000"
"139","8913.429688","1.000000"
"140","8949.513672","1.000000"
"141","8915.351563","1.000000"
"142","8942.470703","1.000000"
"143","8916.203125","1.000000"
"144","8936.464844","1.000000"
"145","8917.257813","1.000000"
"146","8934.197266","1.000000"
"147","8916.925781","1.000000"
"148","8932.558594","1.000000"
"149","8917.827148","1.000000"
"150","8930.546875","1.000000"
"151","8920.388672","1.000000"
"152","8930.278320","1.000000"
"153","8921.720703","1.000000"
"154","8930.209961","1.000000"
"155","8920.333984","1.000000"
"156","8929.416016","1.000000"
"157","8922.146484","1.000000"
"158","8930.112305","1.000000"
"159","8923.897461","1.000000"
"160","8929.805664","1.000000"
"161","8923.243164","1.000000"
"162","8930.375977","1.000000"
"163","8922.393555","1.000000"
"164","8930.250000","1.000000"
"165","8925.077148","1.000000"
"166","8928.687500","1.000000"
"167","8927.007813","1.000000"
"168","8929.370117","1.000000"
"169","8926.095703","1.000000"
"170","8926.893555","1.000000"
"171","8926.030273","1.000000"
"172","8926.186523","1.000000"
"173","8918.442383","1.000000"
"174","8926.003906","1.000000"
"175","8919.667969","1.000000"
"176","8926.926758","1.000000"
"177","8917.851563","1.000000"
"178","8928.789063","1.000000"
"179","8918.340820","1.000000"
"180","8924.001953","1.000000"
"181","8920.105469","1.000000"
"182","8924.222656","1.000000"
"183","8922.974609","1.000000"
"184","8915.453125","1.000000"
"185","8923.425781","1.000000"
"186","8915.349609","1.000000"
"187","8920.866211","1.000000"
"188","8917.783203","1.000000"
"189","8922.662109","1.000000"
"190","8919.577148","1.000000"
"191","8917.909180","1.000000"
"192","8921.304688","1.000000"
"193","8919.300781","1.000000"
"194","8920.297852","1.000000"
"195","8915.548828","1.000000"
"196","8925.595703","1.000000"
"197","8915.371094","1.000000"
"198","8920.988281","1.000000"
"199","8917.210938","1.000000"
"200","8915.464844","1.000000"
"201","8918.791016","1.000000"
"202","8913.607422","1.000000"
"203","8923.970703","1.000000"
"204","8913.154297","1.000000"
"205","8926.042969","1.000000"
"206","8910.736328","1.000000"
"207","8922.272461","1.000000"
"208","8907.759766","1.000000"
"209","8921.895508","1.000000"
"210","8908.274414","1.000000"
"211","8920.560547","1.000000"
"212","8911.122070","1.000000"
"213","8915.881836","1.000000"
"214","8913.513672","1.000000"
"215","8918.875977","1.000000"
"216","8914.619141","1.000000"
"217","8920.654297","1.000000"
"218","8911.416016","1.000000"
"219","8920.576172","1.000000"
"220","8911.791992","1.000000"
"221","8916.936523","1.000000"
"222","8906.541992","1.000000"
"223","8916.016602","1.000000"
"224","8906.569336","1.000000"
"225","8916.853516","1.000000"
"226","8903.792969","1.000000"
"227","8916.345703","1.000000"
"228","8903.864258","1.000000"
"229","8916.613281","1.000000"
"230","8906.583008","1.000000"
"231","8927.311523","1.000000"
"232","8906.816406","1.000000"
"233","8932.301758","1.000000"
"234","8908.138672","1.000000"
"235","8932.933594","1.000000"
"236","8907.639648","1.000000"
"237","8932.917969","1.000000"
"238","8908.437500","1.000000"
"239","8934.252930","1.000000"
"240","8901.233398","1.000000"
"241","8929.675781","1.000000"
"242","8900.689453","1.000000"
"243","8930.629883","1.000000"
"244","8900.273438","1.000000"
"245","8931.937500","1.000000"
"246","8901.430664","1.000000"
"247","8933.435547","1.000000"
"248","8905.175781","1.000000"
"249","8932.688477","1.000000"
"250","8907.769531","1.000000"
"251","8936.426758","1.000000"
"252","8907.416992","1.000000"
"253","8939.740234","1.000000"
"254","8910.959961","1.000000"
"255","8932.666016","1.000000"
"256","8913.388672","1.000000"
