"Step","Energy","Temperature"
"-1","8916.544922","0.990000"
"0","8918.102539","0.980100"
"1","8916.544922","0.970299"
"2","8915.028320","0.960596"
"3","8916.533203","0.950990"
"4","8915.360352","0.941480"
"5","8916.245117","0.932065"
"6","8913.242188","0.922745"
"7","8919.443359","0.913517"
"8","8912.634766","0.904382"
"9","8917.452148","0.895338"
"10","8913.551758","0.886385"
"11","8913.551758","0.877521"
"12","8915.246094","0.868746"
"13","8913.730469","0.860058"
"14","8915.842773","0.851458"
"15","8913.712891","0.842943"
"16","8913.548828","0.834514"
"17","8913.078125","0.826169"
"18","8913.774414","0.817907"
"19","8913.774414","0.809728"
"20","8913.069336","0.801631"
"21","8915.036133","0.793614"
"22","8913.384766","0.785678"
"23","8914.849609","0.777822"
"24","8913.311523","0.770043"
"25","8913.311523","0.762343"
"26","8913.311523","0.754719"
"27","8913.311523","0.747172"
"28","8914.809570","0.739700"
"29","8914.457031","0.732304"
"30","8914.621094","0.724980"
"31","8914.544922","0.717731"
"32","8914.209961","0.710553"
"33","8913.340820","0.703448"
"34","8913.233398","0.696413"
"35","8912.733398","0.689449"
"36","8914.873047","0.682555"
"37","8912.962891","0.675729"
"38","8916.660156","0.668972"
"39","8912.058594","0.662282"
"40","8912.058594","0.655659"
"41","8917.446289","0.649103"
"42","8912.399414","0.642612"
"43","8917.958008","0.636186"
"44","8909.508789","0.629824"
"45","8917.524414","0.623526"
"46","8909.906250","0.617290"
"47","8918.087891","0.611118"
"48","8908.994141","0.605006"
"49","8908.994141","0.598956"
"50","8918.083984","0.592967"
"51","8908.173828","0.587037"
"52","8918.340820","0.581167"
"53","8908.204102","0.575355"
"54","8919.158203","0.569602"
"55","8907.901367","0.563906"
"56","8917.733398","0.558267"
"57","8907.258789","0.552684"
"58","8907.258789","0.547157"
"59","8919.131836","0.541685"
"60","8908.348633","0.536269"
"61","8908.348633","0.530906"
"62","8908.348633","0.525597"
"63","8908.348633","0.520341"
"64","8918.495117","0.515137"
"65","8908.575195","0.509986"
"66","8918.788086","0.504886"
"67","8907.506836","0.499837"
"68","8919.106445","0.494839"
"69","8907.520508","0.489891"
"70","8907.520508","0.484992"
"71","8907.520508","0.480142"
"72","8907.520508","0.475340"
"73","8918.961914","0.470587"
"74","8907.653320","0.465881"
"75","8907.653320","0.461222"
"76","8919.088867","0.456610"
"77","8908.007813","0.452044"
"78","8921.192383","0.447524"
"79","8907.385742","0.443048"
"80","8919.880859","0.438618"
"81","8909.758789","0.434232"
"82","8919.012695","0.429889"
"83","8909.146484","0.425590"
"84","8909.146484","0.421335"
"85","8909.146484","0.417121"
"86","8909.146484","0.412950"
"87","8909.146484","0.408821"
"88","8909.146484","0.404732"
"89","8918.425781","0.400685"
"90","8910.333008","0.396678"
"91","8910.333008","0.392711"
"92","8910.333008","0.388784"
"93","8918.527344","0.384896"
"94","8909.493164","0.381047"
"95","8909.493164","0.377237"
"96","8918.887695","0.373465"
"97","8909.252930","0.369730"
"98","8909.252930","0.366033"
"99","8909.252930","0.362372"
"100","8909.252930","0.358749"
"101","8920.189453","0.355161"
"102","8908.125977","0.351610"
"103","8920.085938","0.348093"
"104","8905.700195","0.344613"
"105","8905.700195","0.341166"
"106","8905.700195","0.337755"
"107","8905.700195","0.334377"
"108","8905.700195","0.331033"
"109","8921.163086","0.327723"
"110","8905.027344","0.324446"
"111","8905.027344","0.321201"
"112","8905.027344","0.317989"
"113","8905.027344","0.314810"
"114","8905.027344","0.311661"
"115","8905.027344","0.308545"
"116","8924.367188","0.305459"
"117","8906.210938","0.302405"
"118","8906.210938","0.299381"
"119","8925.255859","0.296387"
"120","8905.792969","0.293423"
"121","8905.792969","0.290489"
"122","8924.985352","0.287584"
"123","8905.565430","0.284708"
"124","8905.565430","0.281861"
"125","8905.565430","0.279042"
"126","8926.376953","0.276252"
"127","8908.054688","0.273490"
"128","8908.054688","0.270755"
"129","8908.054688","0.268047"
"130","8925.348633","0.265367"
"131","8908.139648","0.262713"
"132","8908.139648","0.260086"
