"Value","Count"
"0","16"
"1","16"
"2","16"
"3","16"
"4","16"
"5","16"
"6","16"
"7","16"
"8","16"
"9","16"
"10","16"
"11","16"
"12","16"
"13","16"
"14","16"
"15","16"
"16","16"
"17","16"
"18","16"
"19","16"
"20","16"
"21","16"
"22","16"
"23","16"
"24","16"
"25","16"
"26","16"
"27","16"
"28","16"
"29","16"
"30","16"
"31","16"
"32","16"
"33","16"
"34","16"
"35","16"
"36","16"
"37","16"
"38","16"
"39","16"
"40","16"
"41","16"
"42","16"
"43","16"
"44","16"
"45","16"
"46","16"
"47","16"
"48","16"
"49","16"
"50","16"
"51","16"
"52","16"
"53","16"
"54","16"
"55","16"
"56","16"
"57","16"
"58","16"
"59","16"
"60","16"
"61","16"
"62","16"
"63","16"
"64","16"
"65","16"
"66","16"
"67","16"
"68","16"
"69","16"
"70","16"
"71","16"
"72","16"
"73","16"
"74","16"
"75","16"
"76","16"
"77","16"
"78","16"
"79","16"
"80","16"
"81","16"
"82","16"
"83","16"
"84","16"
"85","16"
"86","16"
"87","16"
"88","16"
"89","16"
"90","16"
"91","16"
"92","16"
"93","16"
"94","16"
"95","16"
"96","16"
"97","16"
"98","16"
"99","16"
"100","16"
"101","16"
"102","16"
"103","16"
"104","16"
"105","16"
"106","16"
"107","16"
"108","16"
"109","16"
"110","16"
"111","16"
"112","16"
"113","16"
"114","16"
"115","16"
"116","16"
"117","16"
"118","16"
"119","16"
"120","16"
"121","16"
"122","16"
"123","16"
"124","16"
"125","16"
"126","16"
"127","16"
"128","16"
"129","16"
"130","16"
"131","16"
"132","16"
"133","16"
"134","16"
"135","16"
"136","16"
"137","16"
"138","16"
"139","16"
"140","16"
"141","16"
"142","16"
"143","16"
"144","16"
"145","16"
"146","16"
"147","16"
"148","16"
"149","16"
"150","16"
"151","16"
"152","16"
"153","16"
"154","16"
"155","16"
"156","16"
"157","16"
"158","16"
"159","16"
"160","16"
"161","16"
"162","16"
"163","16"
"164","16"
"165","16"
"166","16"
"167","16"
"168","16"
"169","16"
"170","16"
"171","16"
"172","16"
"173","16"
"174","16"
"175","16"
"176","16"
"177","16"
"178","16"
"179","16"
"180","16"
"181","16"
"182","16"
"183","16"
"184","16"
"185","16"
"186","16"
"187","16"
"188","16"
"189","16"
"190","16"
"191","16"
"192","16"
"193","16"
"194","16"
"195","16"
"196","16"
"197","16"
"198","16"
"199","16"
"200","16"
"201","16"
"202","16"
"203","16"
"204","16"
"205","16"
"206","16"
"207","16"
"208","16"
"209","16"
"210","16"
"211","16"
"212","16"
"213","16"
"214","16"
"215","16"
"216","16"
"217","16"
"218","16"
"219","16"
"220","16"
"221","16"
"222","16"
"223","16"
"224","16"
"225","16"
"226","16"
"227","16"
"228","16"
"229","16"
"230","16"
"231","16"
"232","16"
"233","16"
"234","16"
"235","16"
"236","16"
"237","16"
"238","16"
"239","16"
"240","16"
"241","16"
"242","16"
"243","16"
"244","16"
"245","16"
"246","16"
"247","16"
"248","16"
"249","16"
"250","16"
"251","16"
"252","16"
"253","16"
"254","16"
"255","16"
